code_cluster,code_insee_centre_zone_emploi,latitude_centre,longitude_centre,ville_principale
52,84007,43.94294444444444,4.811166666666667,Avignon
53,27467,49.33154621848739,0.4106638655462185,Pont-Audemer
54,14118,49.13835789473684,-0.4276684210526316,Caen
55,14366,49.10633333333333,0.21911827956989247,Lisieux
56,14762,48.8297619047619,-0.9374285714285714,Vire Normandie
57,50502,49.16255769230769,-1.1149326923076923,Saint-Lô
58,61169,48.689406593406595,-0.5191868131868133,Flers
59,15187,45.06366666666666,3.0332261904761904,Saint-Flour
60,19275,45.48916666666667,2.390806451612903,Ussel
61,15014,44.90163725490196,2.409529411764706,Aurillac
62,63178,45.445755395683456,3.2240215827338132,Issoire
63,87154,45.97631730769231,0.8431634615384614,Saint-Junien
64,16015,45.72933189655173,0.19686206896551722,Angoulême
65,16102,45.560790575916236,-0.2760104712041885,Cognac
66,24322,45.275597402597406,0.5961731601731602,Périgueux
67,33243,44.94285,-0.14600000000000002,Libourne
68,17300,46.165361445783134,-0.982433734939759,La Rochelle
69,17299,45.926682926829265,-0.8901951219512194,Rochefort
70,17415,45.72614285714286,-0.5860068027210884,Saintes
71,17306,45.70409803921569,-1.0039607843137255,Royan
72,79191,46.248306748466256,-0.2840184049079755,Niort
73,33063,44.928256097560975,-0.5618109756097561,Bordeaux
74,18033,46.93372941176471,2.4699529411764707,Bourges
75,58194,47.00077222222222,3.3243388888888887,Nevers
76,45155,47.61722388059701,2.5764776119402986,Gien
77,58086,47.408478991596645,3.1138823529411765,Cosne-Cours-sur-Loire
78,36044,46.7094647887324,1.656680751173709,Châteauroux
79,18279,47.193714285714286,2.032,Vierzon
80,19272,45.27331818181818,1.7923030303030303,Tulle
81,19031,45.18672448979592,1.416204081632653,Brive-la-Gaillarde
82,87085,45.78323076923077,1.3436538461538463,Limoges
83,21054,47.053895104895105,4.794062937062938,Beaune
84,21231,47.38063664596273,5.047543478260869,Dijon
85,21154,47.55725751072961,4.450987124463519,Châtillon-sur-Seine
86,71014,46.95766666666667,4.290515151515152,Autun
87,39198,47.05309756097561,5.503097560975609,Dole
88,89024,47.83408530805687,3.6697393364928907,Auxerre
89,22278,48.469206896551725,-2.8600862068965514,Saint-Brieuc
90,22093,48.3939756097561,-2.4472682926829266,Lamballe-Armor
91,22050,48.42450746268657,-2.154537313432836,Dinan
92,22070,48.563326530612244,-3.197530612244898,Guingamp
93,22113,48.734738461538456,-3.3057538461538463,Lannion
94,29024,48.27927160493827,-3.4914691358024696,Carhaix-Plouguer
95,56178,48.065984848484845,-2.8691515151515152,Pontivy
96,35288,48.552166666666665,-1.8322592592592595,Saint-Malo
97,29151,48.57554237288135,-3.9261525423728814,Morlaix
98,23096,46.11593359375,1.98895703125,Guéret
99,24520,44.86877570093458,1.1185794392523365,Sarlat-la-Canéda
100,24037,44.81782352941177,0.4683398692810458,Bergerac
101,47323,44.50677551020408,0.7414081632653061,Villeneuve-sur-Lot
102,25056,47.29882682926829,5.966856097560976,Besançon
103,70550,47.69734911242603,6.1605207100591715,Vesoul
104,25388,47.43100684931507,6.721390410958904,Montbéliard
105,25462,47.007955056179775,6.42988202247191,Pontarlier
106,39478,46.46191549295774,5.843154929577464,Saint-Claude
107,39300,46.69975892857143,5.60664880952381,Lons-le-Saunier
108,84138,44.32600877192982,5.258228070175439,Valréas
109,26281,45.06022807017544,5.155438596491228,Romans-sur-Isère
110,27056,49.11605660377358,0.6383301886792453,Bernay
111,28134,48.73195652173913,1.3414782608695652,Dreux
112,27229,48.99819760479042,1.1075988023952095,Évreux
113,27681,49.243745454545454,1.4897272727272728,Vernon
114,76540,49.463550335570474,1.1361040268456377,Rouen
115,61214,48.74972839506173,0.5226296296296296,L'Aigle
116,28085,48.412509933774835,1.5280132450331125,Chartres
117,28088,48.12580952380952,1.3054920634920635,Châteaudun
118,28280,48.40810975609756,0.8658414634146341,Nogent-le-Rotrou
119,45234,47.94377611940299,1.870276119402985,Orléans
120,29019,48.449141304347826,-4.4220434782608695,Brest
121,29233,47.910444444444444,-3.5797222222222222,Quimperlé
122,29232,48.00368674698795,-4.180433734939759,Quimper
123,2A004,42.02224691358025,8.891061728395062,Ajaccio
124,2A249,41.699838709677415,9.005806451612903,Propriano
125,2A247,41.62,9.205250000000001,Porto-Vecchio
126,2B123,42.13816666666666,9.3834,Ghisonaccia
127,2B096,42.33296551724138,9.211189655172415,Corte
128,2B050,42.558527777777776,8.94125,Calvi
129,2B033,42.53538392857143,9.395928571428572,Bastia
130,30189,43.8905593220339,4.284161016949152,Nîmes
131,34172,43.68304069767442,3.7066569767441857,Montpellier
132,30028,44.16298076923077,4.553826923076923,Bagnols-sur-Cèze
133,30007,44.117439306358385,3.9609364161849707,Alès
134,32013,43.663728426395934,0.49993654822335026,Auch
135,82121,44.04324752475248,1.4803564356435643,Montauban
136,65440,43.190501048218024,0.15269392033542975,Tarbes
137,82033,44.05586538461539,0.9823942307692307,Castelsarrasin
138,33227,44.563875,-0.18101704545454547,Langon
139,33529,44.36606060606061,-0.9961515151515151,La Teste-de-Buch
140,33240,45.25775,-0.8943999999999999,Lesparre-Médoc
141,47157,44.4704427480916,0.2291068702290076,Marmande
142,34032,43.484315315315314,3.1067027027027025,Béziers
143,34003,43.431555555555555,3.444388888888889,Agde
144,34301,43.46263636363636,3.6704545454545454,Sète
145,35238,48.113575,-1.7583562499999998,Rennes
146,35115,48.379622222222224,-1.3052444444444444,Fougères
147,35360,48.05780357142857,-1.2465178571428572,Vitré
148,35236,47.71360465116279,-2.0725348837209303,Redon
149,56165,47.93456603773585,-2.354018867924528,Ploërmel
150,41194,47.33931428571429,1.7100428571428572,Romorantin-Lanthenay
151,37132,47.033551282051285,0.9809615384615384,Loches
