Latitude,Longitude,department (name),department (code),communes (code),Nom,Mois,Pression station,Température (°C),Précipitations dans les 24 dernières heures,Rafales sur une période
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,8,100102.70212765958,26.863404255319175,2219.5,3.112978723404255
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,9,100077.16253443527,27.567217630854017,564.0,3.341322314049587
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,10,99910.70904645477,27.98215158924208,405.1,3.6029339853300733
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,11,99837.10706150341,27.62050113895219,1175.5,3.8760820045558084
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,12,100069.38405797101,26.201086956521763,1380.6,4.672826086956522
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,1,101186.6129032258,25.419758064516152,2115.6,3.8782258064516126
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,2,101159.47368421052,25.184210526315812,2715.2,3.8062200956937797
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,3,101147.15083798883,24.958659217877116,4778.5,3.9860335195530725
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,4,101163.77358490566,25.725157232704426,1454.1,3.6540880503144653
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,5,101157.43119266054,25.582568807339474,2198.6,3.113761467889908
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,6,101278.68644067796,26.04152542372884,2074.6,2.9694915254237286
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,7,101251.24324324324,26.229729729729755,1431.8,3.052972972972973
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,8,101187.75862068965,26.51551724137933,130.7,2.970689655172414
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,9,101157.06666666667,27.400000000000023,15.100000000000001,3.5493333333333332
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,10,101096.07142857143,27.42857142857145,3.4000000000000004,3.6839285714285714
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,11,100963.22033898305,28.238983050847484,208.5,4.51864406779661
3.890667,-51.804667,Guyane,973,97308,SAINT GEORGES,12,101080.86805555556,26.21493055555558,1719.4,3.704861111111111
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,1,101157.75193798449,26.082170542635684,16966.2,6.026416219439475
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,2,101158.81278538813,26.156881930854556,12765.1,6.600978473581213
