code_cluster,mois,pression_station,température,précipitations_24_dernières_heures,Rafale sur les 10 dernières minutes
9,10,100593.59877488515,11.96466309341503,4877.6,4.650765696784073
9,11,100437.6530612245,7.398426870748322,3633.8,5.1656462585034015
9,12,100711.04391052196,5.527091963546005,3919.0,5.514291632145816
10,1,100738.35018196523,3.9377678932470905,4319.6,5.573271330367975
10,2,100732.33842010771,5.43164272890487,3317.7,5.966741472172352
10,3,100386.49773382777,7.265595385249301,3421.3,5.778903996703749
10,4,100466.45527089458,10.043553128937445,2573.1,4.973162536749265
10,5,100518.08225108225,14.098961038961061,3466.8,4.81051948051948
10,6,100480.6230248307,18.24261851015804,5009.9,4.444695259593679
10,7,100536.3494025546,19.799752781211396,4698.9,4.686979810465595
10,8,100538.75677930747,19.61919065498542,2523.7,4.359240717563622
10,9,100609.58417440452,15.723617278966517,3847.7,4.5
10,10,100593.59877488515,11.96466309341503,4877.6,4.650765696784073
10,11,100437.6530612245,7.398426870748322,3633.8,5.1656462585034015
10,12,100711.04391052196,5.527091963546005,3919.0,5.514291632145816
11,1,100738.35018196523,3.9377678932470905,4319.6,5.573271330367975
11,2,100732.33842010771,5.43164272890487,3317.7,5.966741472172352
11,3,100386.49773382777,7.265595385249301,3421.3,5.778903996703749
11,4,100466.45527089458,10.043553128937445,2573.1,4.973162536749265
11,5,100518.08225108225,14.098961038961061,3466.8,4.81051948051948
11,6,100480.6230248307,18.24261851015804,5009.9,4.444695259593679
11,7,100536.3494025546,19.799752781211396,4698.9,4.686979810465595
11,8,100538.75677930747,19.61919065498542,2523.7,4.359240717563622
11,9,100609.58417440452,15.723617278966517,3847.7,4.5
11,10,100593.59877488515,11.96466309341503,4877.6,4.650765696784073
11,11,100437.6530612245,7.398426870748322,3633.8,5.1656462585034015
11,12,100711.04391052196,5.527091963546005,3919.0,5.514291632145816
12,1,100738.35018196523,3.9377678932470905,4319.6,5.573271330367975
12,2,100732.33842010771,5.43164272890487,3317.7,5.966741472172352
12,3,100386.49773382777,7.265595385249301,3421.3,5.778903996703749
12,4,100466.45527089458,10.043553128937445,2573.1,4.973162536749265
12,5,100518.08225108225,14.098961038961061,3466.8,4.81051948051948
12,6,100480.6230248307,18.24261851015804,5009.9,4.444695259593679
12,7,100536.3494025546,19.799752781211396,4698.9,4.686979810465595
12,8,100538.75677930747,19.61919065498542,2523.7,4.359240717563622
12,9,100609.58417440452,15.723617278966517,3847.7,4.5
12,10,100593.59877488515,11.96466309341503,4877.6,4.650765696784073
12,11,100437.6530612245,7.398426870748322,3633.8,5.1656462585034015
12,12,100711.04391052196,5.527091963546005,3919.0,5.514291632145816
13,1,98148.96756509822,4.6032891731384415,1738.4,5.365280950205573
13,2,98043.33509793541,6.721916357861325,1021.1,5.607676019057703
13,3,97690.29985721085,8.774440742503593,1874.4,5.92574964302713
13,4,97704.26897844423,11.329147141518298,3146.5,5.457731958762886
13,5,97781.4,15.170476190476213,4598.4,5.004619047619048
13,6,97793.50571854798,19.76553953257088,6952.8,4.47672799602188
13,7,97905.45544066963,21.69305760709013,2462.5,4.273658296405711
13,8,97890.59301769489,21.69115255858443,3343.1,4.093974175035868
13,9,97957.59355755567,17.345997157745167,3940.0,4.226480341070583
13,10,97928.03036876356,13.376485900216943,2834.5,4.7724945770065075
13,11,97843.53372434017,8.706109481915957,2440.5,4.964565004887586
13,12,98188.60120426123,5.732468735525729,2264.1,5.152339045854562
14,1,98148.96756509822,4.6032891731384415,1738.4,5.365280950205573
14,2,98043.33509793541,6.721916357861325,1021.1,5.607676019057703
14,3,97690.29985721085,8.774440742503593,1874.4,5.92574964302713
14,4,97704.26897844423,11.329147141518298,3146.5,5.457731958762886
14,5,97781.4,15.170476190476213,4598.4,5.004619047619048
14,6,97793.50571854798,19.76553953257088,6952.8,4.47672799602188
14,7,97905.45544066963,21.69305760709013,2462.5,4.273658296405711
14,8,97890.59301769489,21.69115255858443,3343.1,4.093974175035868
14,9,97957.59355755567,17.345997157745167,3940.0,4.226480341070583
