code_cluster,code_insee_centre_zone_emploi,latitude_centre,longitude_centre,ville_principale
43,66136,42.867222222222225,2.597888888888889,Leucate
44,12202,44.42275939849624,2.6134586466165413,Rodez
45,12145,43.97976923076923,3.0270109890109893,Millau
46,12300,44.44217741935484,2.108532258064516,Villefranche-de-Rouergue
47,81004,43.986250000000005,2.5591666666666666,Réquista
48,13001,43.533166666666666,5.469555555555555,Aix-en-Provence
49,13055,43.34455555555555,5.462111111111112,Marseille
50,13056,43.57973076923077,5.077384615384616,Martigues
51,13004,43.74535,4.7027,Arles
52,84007,43.92969565217391,4.748043478260869,Châteaurenard
53,27467,49.33154621848739,0.4106638655462185,Pont-Audemer
54,14118,49.13835789473684,-0.4276684210526316,Caen
55,14366,49.15161842105263,0.2174736842105263,Lisieux
56,14762,48.88691666666667,-0.9269166666666666,Vire Normandie
57,50502,49.29958823529412,-1.0139411764705881,Isigny-sur-Mer
58,61169,48.887,-0.5594,Condé-en-Normandie
59,15187,45.06366666666666,3.0332261904761904,Saint-Flour
60,19275,45.433773333333335,2.342766666666667,Ussel
61,15014,44.90163725490196,2.409529411764706,Aurillac
62,63178,45.32505,3.333325,Brioude
63,87154,45.938833333333335,0.6811111111111111,Terres-de-Haute-Charente
64,16015,45.72618695652174,0.19631739130434783,Angoulême
65,16102,45.560790575916236,-0.2760104712041885,Cognac
66,24322,45.275597402597406,0.5961731601731602,Périgueux
67,33243,44.94285,-0.14600000000000002,Libourne
68,17300,46.165361445783134,-0.982433734939759,La Rochelle
69,17299,45.926682926829265,-0.8901951219512194,Rochefort
70,17415,45.72614285714286,-0.5860068027210884,Saintes
71,17306,45.70409803921569,-1.0039607843137255,Royan
72,79191,46.022,-0.308,Aulnay
73,33063,44.928256097560975,-0.5618109756097561,Bordeaux
74,18033,46.93372941176471,2.4699529411764707,Bourges
75,58194,46.984242424242424,2.933909090909091,La Guerche-sur-l'Aubois
76,45155,47.46142857142858,2.500714285714286,Aubigny-sur-Nère
77,58086,47.33654838709678,2.814451612903226,Saint-Satur
78,36044,46.7094647887324,1.656680751173709,Châteauroux
79,18279,47.193714285714286,2.032,Vierzon
80,19272,45.2651007751938,1.7954883720930233,Tulle
81,19031,45.18672448979592,1.416204081632653,Brive-la-Gaillarde
82,87085,45.56008333333333,1.2778333333333334,Jumilhac-le-Grand
83,21054,47.06933070866142,4.789307086614173,Beaune
84,21231,47.379275862068965,5.0441974921630095,Dijon
85,21154,47.55725751072961,4.450987124463519,Châtillon-sur-Seine
86,71014,47.11671428571429,4.308571428571429,Viévy
87,39198,47.065640350877196,5.5232982456140345,Dole
88,89024,47.864,4.3506,Laignes
89,22278,48.469206896551725,-2.8600862068965514,Saint-Brieuc
90,22093,48.40794871794872,-2.4484358974358975,Lamballe-Armor
91,22050,48.42450746268657,-2.154537313432836,Dinan
92,22070,48.563326530612244,-3.197530612244898,Guingamp
93,22113,48.734738461538456,-3.3057538461538463,Lannion
94,29024,48.30491549295775,-3.494605633802817,Carhaix-Plouguer
95,56178,48.18031818181819,-2.7686818181818182,Loudéac
96,35288,48.552166666666665,-1.8322592592592595,Saint-Malo
97,29151,48.57554237288135,-3.9261525423728814,Morlaix
98,23096,46.10843388429752,2.0251487603305787,Guéret
99,24520,44.86877570093458,1.1185794392523365,Sarlat-la-Canéda
100,24037,44.81887417218543,0.47091390728476823,Bergerac
101,47323,44.6574,0.8008000000000001,Vergt-de-Biron
102,25056,47.227011363636365,6.081276515151515,Besançon
103,70550,47.4628947368421,6.368157894736842,Rougemont
104,25388,47.42451449275362,6.721275362318841,Montbéliard
105,25462,47.007955056179775,6.42988202247191,Pontarlier
106,39478,46.46191549295774,5.843154929577464,Saint-Claude
107,39300,46.70694755244755,5.666087412587412,Lons-le-Saunier
108,84138,44.34431868131868,5.3025164835164835,Nyons
109,26281,45.06022807017544,5.155438596491228,Romans-sur-Isère
110,27056,49.11605660377358,0.6383301886792453,Bernay
111,28134,48.73195652173913,1.3414782608695652,Dreux
112,27229,48.99819760479042,1.1075988023952095,Évreux
