Mois,Meteo_Pression_station_moyenne,Meteo_Temperature_moyenne,Meteo_Precipitations_moyenne,Meteo_Rafales_moyenne,code_cluster,ID
10,101385.29157667387,17.220734341252722,2051.7,5.975593952483801,128,128_10
10,101385.29157667387,17.220734341252722,2051.7,5.975593952483801,129,129_10
11,101114.52471482889,13.57984790874527,3674.5,5.942395437262357,126,126_11
11,101114.52471482889,13.57984790874527,3674.5,5.942395437262357,127,127_11
11,101114.52471482889,13.57984790874527,3674.5,5.942395437262357,128,128_11
11,101114.52471482889,13.57984790874527,3674.5,5.942395437262357,129,129_11
12,101571.48580968281,10.490150250417386,924.5,6.090818030050084,126,126_12
12,101571.48580968281,10.490150250417386,924.5,6.090818030050084,127,127_12
12,101571.48580968281,10.490150250417386,924.5,6.090818030050084,128,128_12
12,101571.48580968281,10.490150250417386,924.5,6.090818030050084,129,129_12
1,101424.22641509434,8.807735849056627,2481.9,9.561635220125787,36,36_1
