GEO,TOUR_MEASURE,HOTEL_STA,FREQ,TIME_PERIOD,TERRTYPO,ACTIVITY,TOUR_RESID,UNIT_LOC_RANKING,OBS_STATUS,DECIMALS,UNIT_MULT,OBS_STATUS_FR,CONF_STATUS,OBS_VALUE_NIVEAU
2023-DEP-73,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,3748.850147588
2023-DEP-11,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1157.457265511
2023-DEP-53,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,24.263906599
2023-DEP-54,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,96.675458543
2023-DEP-55,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,19.447047915
2023-DEP-56,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,260.675058049
2023-DEP-57,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,169.47770537
2023-DEP-29,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1829.276290682
2023-DEP-58,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,42.208315494
2023-DEP-59,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,330.698391222
2023-DEP-60,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,155.172922804
2023-DEP-61,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,31.21851331
2023-DEP-62,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,309.888620662
2023-DEP-63,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,267.489545904
2023-DEP-64,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,408.716899692
2023-DEP-65,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,374.896972654
2023-DEP-66,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,277.81870259
2023-DEP-67,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,443.602995815
2023-DEP-72,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,80.267088164
2023-DEP-68,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,345.819206684
2023-DEP-69,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,543.716831518
2023-DEP-70,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,11.002408785
2023-DEP-71,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,167.671971036
2023-DEP-73,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,319.36991846
2023-DEP-74,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,711.228216206
2023-DEP-75,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,3186.35957391
2023-DEP-18,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,681.047173219
2023-DEP-75,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,3370.769622172
2023-DEP-58,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,35.891011678
2023-DEP-65,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,328.073293719
2023-DEP-973,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,35.077852915
2023-DEP-72,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,82.016567563
2023-DEP-40,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,112.318971557
2023-DEP-32,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,20.657471904
2023-DEP-66,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,174.24098986
2023-DEP-35,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,291.720724082
2023-DEP-89,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,69.316120596
2023-DEP-64,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,292.911345483
2023-DEP-09,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,22.29021545
2023-DEP-12,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,660.232323954
2023-DEP-36,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,36.902539716
2023-DEP-49,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,131.998749828
2023-DEP-39,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,51.420007722
2023-DEP-18,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,65.902376173
2023-DEP-52,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,32.589370031
2023-DEP-29,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,199.524622973
2023-DEP-45,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,126.116699738
2023-DEP-05,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,941.231638003
2023-DEP-03,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,70.26253426
2023-DEP-38,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,179.909356801
2023-DEP-08,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,24.318369963
2023-DEP-27,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,52.485679682
2023-DEP-31,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,270.286130163
2023-DEP-971,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,34.629652357
2023-DEP-26,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1269.545157512
2023-DEP-67,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,381.87718108
2023-DEP-974,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,123.532112331
2023-DEP-44,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,276.291099012
2023-DEP-23,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,13.657765843
2023-DEP-23,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,137.195850076
2023-DEP-04,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,80.079208337
2023-DEP-50,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,122.839283033
2023-DEP-56,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,179.68478348
2023-DEP-37,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,184.33615584
2023-DEP-48,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,52.287086108
